nombreUbicacion,latitud,longitud,magnitudSismo,tsunami,volcan,pais,profundidadSismo,intensidad,fecha,muertesActualizadas,ordenCantidadMuertesActualizadas,lesionesActualizadas,ordenCantidadLesionesActualizadas,casasDanadasActualizadas,ordenCantidadCasasDanadasActualizadas,casasDestruidasActualizadas,ordenCantidadCasasDestruidasActualizadas,danosActualizados,ordenCantidadDanosActualizados
"UNITED KINGDOM:  MANSFIELD, DUDLEY",52.52,-2.15,4.8,0,0,UK,9.0,6.0,2002-09-22,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
JAPAN: MIYAKEJIMA,33.958,139.352,5.8,0,0,JAPAN,9.0,7.85655923740354,2013-04-17,1.0,1.0,3.0,1.0,51.0,2.0,101.0,3.0,0.5,1.0
"MINDANAO ISLAND, PHILIPPINES",8.249,122.403,6.9,1,0,PHILIPPINES,24.0,7.85655923740354,1978-06-14,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
CHILE: CANETE,-37.695,-73.406,6.6,0,0,CHILE,21.0,6.0,2004-05-03,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
POLAND:  RUDNA,51.613,16.157,4.2,0,0,POLAND,5.0,7.85655923740354,2016-11-29,8.0,1.0,9.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
TAJIKISTAN,39.2,70.8,7.4,0,0,TAJIKISTAN,16.0,10.0,1949-07-10,3500.0,4.0,1.0,1.0,1.0,3.0,1000.0,4.0,25.0,4.0
CHINA:  YUNNAN PROVINCE:  SIMAO,22.526,100.709,4.8,0,0,CHINA,12.0,7.85655923740354,2005-01-25,1.0,1.0,3.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
BALKANS NW:  BOSNIA-HERZEGOVINA,43.6,18.3,6.3,0,0,BOSNIA-HERZEGOVINA,40.153361344537814,7.85655923740354,1962-06-11,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,40.0,4.0
MEXICO:  GUERRERO,16.5,-100.4,6.8,0,0,MEXICO,40.153361344537814,11.0,1950-11-17,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"CHINA:  S. XINJIANG, BACHU, SHULE, YINGJISHA",39.527,76.941,6.2,0,0,CHINA,15.0,7.85655923740354,1997-04-11,9.0,1.0,89.0,2.0,1.0,3.0,2000.0,4.0,25.0,4.0
INDONESIA:  BANDANEIRA,-4.5,129.9,7.5,1,0,INDONESIA,40.153361344537814,7.85655923740354,1882-10-10,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"PAPUA NEW GUINEA: MOROBE, EASTERN HIGHLANDS",-6.256,146.469,7.6,0,0,PAPUA NEW GUINEA,90.0,8.0,2022-09-10,21.0,1.0,30.0,1.0,1.0,3.0,1076.0,4.0,5.0,3.0
JAPAN:  NEAR S COAST HONSHU,34.9,140.2,7.7,1,0,JAPAN,20.0,7.85655923740354,1923-09-02,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"CHILE:  PUEBLO NUEVO, COQUIMBO, LA CHIMBA",-30.933,-71.22,7.1,0,0,CHILE,58.0,7.85655923740354,1997-10-15,8.0,1.0,300.0,3.0,15700.0,4.0,5000.0,4.0,48.0,4.0
IRAN:  MUSSAVIEH,33.32,58.845,5.8,0,0,IRAN,15.0,7.0,1962-04-01,20.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDONESIA:  SUMATRA:  KALIANDAK,-5.575,105.395,5.5,0,0,INDONESIA,17.0,7.85655923740354,2006-05-12,1.0,1.0,1.0,1.0,51.0,2.0,51.0,2.0,0.5,1.0
"JAPAN:  TOTTORI, YONANGO",35.464,133.899,5.2,0,0,JAPAN,27.0,6.0,1983-10-30,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"INDONESIA: PANDEGLANG, BANTEN",-6.929,105.251,6.6,0,0,INDONESIA,37.0,8.0,2022-01-14,1.0,1.0,1975.0,4.0,2683.0,4.0,395.0,3.0,5.0,3.0
"PHILIPPINES:  LUZON:  BATAAN, RIZAL, PAMPANGA,MANILA",14.0,120.5,7.5,1,0,PHILIPPINES,40.153361344537814,9.0,1852-09-16,3.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
MONGOLIA,48.0,98.0,7.8,0,0,MONGOLIA,60.0,7.85655923740354,1903-02-01,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
CHINA: SICHUAN PROVINCE: LUXIAN (LU),29.182,105.391,5.4,0,0,CHINA,10.0,7.0,2021-09-15,3.0,1.0,88.0,2.0,7290.0,4.0,809.0,3.0,250.0,4.0
INDIA:  ANDAMAN I,14.099,92.888,7.5,1,0,INDIA,5.0,7.85655923740354,2009-08-10,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
BOLIVIA-NORTHERN CHILE,-21.0,-68.0,7.5,0,0,BOLIVIA,180.0,7.85655923740354,1916-08-25,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDONESIA: SUMATRA: SOLOK,-0.969,100.769,5.2,0,0,INDONESIA,10.0,7.85655923740354,2018-07-21,1.0,1.0,2.0,2.0,101.0,3.0,2.0,1.0,1.0,2.0
"PERU:  SATIPO,ANDAMARCA,ACOBAMBA,LA MERCED,VICTOC",-10.5,-75.0,7.3,0,0,PERU,100.0,10.0,1947-11-01,233.0,3.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
MEXICO:  TEHUANTEPEC,16.0,-95.0,7.0,1,0,MEXICO,40.153361344537814,7.85655923740354,1897-06-20,1.0,1.0,1.0,1.0,1.0,3.0,51.0,2.0,1.0,2.0
RUSSIA:  KURIL ISLANDS,44.117,148.192,7.0,1,0,RUSSIA,44.0,7.85655923740354,1984-03-24,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
AFGHANISTAN:  ROSTAQ; TAJIKISTAN:  DUSHANBE,37.075,70.089,5.9,0,0,AFGHANISTAN,33.0,7.85655923740354,1998-02-04,2323.0,4.0,818.0,3.0,1.0,3.0,8094.0,4.0,25.0,4.0
ALASKA:  PRINCE WILLIAM SOUND,60.5,-149.0,6.9,1,0,USA,60.0,8.0,1911-09-22,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
"SOUTH AFRICA:  MOUNT FRERE, DURBAN",-30.546,28.737,4.8,0,0,SOUTH AFRICA,5.0,4.0,1986-10-05,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
CHINA:  SICHUAN PROVINCE,26.7,102.9,5.5,0,0,CHINA,40.153361344537814,7.0,1947-06-07,3.0,1.0,1.0,1.0,1.0,3.0,51.0,2.0,0.5,1.0
"PERU:  ICA,CHIMBOTE,HUARAZ,CAJAMARCA,CUZCO,MOQUEGUA",-14.25,-75.75,7.0,1,0,PERU,80.0,7.85655923740354,1950-12-10,4.0,1.0,12.0,1.0,1.0,3.0,51.0,2.0,1.0,2.0
"PAKISTAN:  PESHAWAR, KOHAT, SHAKKAR KHEL",33.377,71.317,6.0,0,0,PAKISTAN,16.0,7.85655923740354,1992-05-20,36.0,1.0,100.0,2.0,1.0,3.0,400.0,3.0,1.0,2.0
CHINA:  S XINJIANG:  KALPIN,40.386,78.959,6.1,0,0,CHINA,21.0,7.85655923740354,1991-02-25,1.0,1.0,3.0,1.0,1.0,3.0,8561.0,4.0,1.0,2.0
SAUDI ARABIA: WESTERN,27.836,36.905,4.6,0,0,SAUDI ARABIA,10.0,7.85655923740354,2004-06-09,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
IRAN:  KERMANSHAH,34.594,47.454,5.2,0,0,IRAN,33.0,7.85655923740354,2002-12-24,1.0,1.0,15.0,1.0,3000.0,4.0,3000.0,4.0,5.0,3.0
JAPAN:  KISAKATA,39.05,139.95,7.3,1,0,JAPAN,40.153361344537814,7.85655923740354,1804-07-10,450.0,3.0,1.0,1.0,300.0,3.0,10810.0,4.0,25.0,4.0
"ECUADOR:  ALANGASI,SANGOLQUI,TINGO-PICHINCHA",-0.3,-78.4,7.0,0,0,ECUADOR,10.0,10.0,1938-08-10,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,25.0,4.0
"CHINA:  GANSU PROVINCE:  JONE, LINTAN, MINXIAN",34.712,103.834,5.1,0,0,CHINA,10.0,7.85655923740354,2003-11-13,1.0,1.0,30.0,1.0,1.0,3.0,10.0,1.0,0.5,1.0
PERU:  LIMA,-13.5,-76.5,8.5,1,0,PERU,30.0,10.0,1687-10-20,5000.0,4.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
ALASKA PENINSULA: UNGA ISLAND,57.0,-153.0,8.0,1,0,USA,40.153361344537814,7.0,1788-07-21,101.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,1.0
CHINA:  SHANXI:  NORTHEASTERN,39.899,113.983,5.3,0,0,CHINA,10.0,7.85655923740354,1999-11-01,1.0,1.0,4.0,1.0,1.0,3.0,6000.0,4.0,44.0,4.0
IRAN:  BAJESTAN,34.6,58.1,5.5,0,0,IRAN,40.153361344537814,7.85655923740354,1925-12-14,500.0,3.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"ALGERIA:  NORTHERN:  ALGIERS, BOUMERDES",36.852,3.418,4.4,0,0,ALGERIA,10.0,7.85655923740354,2004-01-10,1.0,1.0,300.0,3.0,1.0,3.0,101.0,3.0,0.5,1.0
UKRAINE:  CRIMEA:  SEBASTOPOL,44.5,33.4,5.2,0,0,UKRAINE,9.0,9.0,1875-07-25,1.0,1.0,101.0,3.0,101.0,3.0,101.0,3.0,1.0,2.0
JAPAN:  HOKKAIDO ISLAND,43.3,147.3,7.0,1,0,JAPAN,40.153361344537814,7.85655923740354,1881-10-25,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
MALAWI:  SALIMA,-14.52,34.28,3.8,0,0,MALAWI,10.0,7.85655923740354,2006-06-03,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
ITALY:  VERONA,45.3,11.0,5.3,0,0,ITALY,40.153361344537814,7.85655923740354,894-00-00,51.0,2.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
GREECE:  CRETE,34.164,25.471,6.4,1,0,GREECE,19.0,2.0,2009-07-01,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
ALASKA:  LITUYA BAY,58.37,-136.665,7.8,1,0,USA,35.0,11.0,1958-07-10,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.1,1.0
INDONESIA:  SULAWESI:  POSO,-1.292,120.431,6.6,0,0,INDONESIA,12.0,7.0,2017-05-29,1.0,1.0,25.0,1.0,348.0,3.0,5.0,1.0,1.0,2.0
MYANMAR (BURMA):  PAGAN,21.49,94.7,6.5,0,0,MYANMAR (BURMA),157.0,7.85655923740354,1975-07-08,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
AUSTRALIA:  NEWCASTLE,-32.967,151.619,5.4,0,0,AUSTRALIA,10.0,8.0,1989-12-27,12.0,1.0,100.0,2.0,1.0,3.0,101.0,3.0,1000.0,4.0
PHILIPPINES:  W. LUZON ISLAND,18.0,119.5,6.4,1,0,PHILIPPINES,40.153361344537814,8.0,1915-11-18,1.0,1.0,1.0,1.0,1.0,1.0,101.0,3.0,0.5,1.0
NEW ZEALAND:  W OF NORTH ISLAND,-48.786,164.357,7.6,1,0,NEW ZEALAND,33.0,7.85655923740354,1981-05-25,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
CHINA:  S. XINJIANG,39.537,76.998,6.0,0,0,CHINA,33.0,7.85655923740354,1997-04-06,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
RUSSIA:  KURIL ISLANDS,50.0,157.0,7.5,1,0,RUSSIA,50.0,9.0,1737-12-17,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
PERU:  AREQUIPA,-16.39,-72.658,6.9,0,0,PERU,53.0,7.85655923740354,1979-02-16,18.0,1.0,51.0,2.0,1.0,3.0,101.0,3.0,1.0,2.0
ALBANIA:  DURRES (DYRRACHIUM),41.4,19.4,6.8,1,0,ALBANIA,40.153361344537814,9.0,346-00-00,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
TAIWAN,23.0,122.2,7.7,0,0,TAIWAN,33.0,7.85655923740354,1972-01-25,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
TURKEY,39.9,41.3,7.3,0,0,TURKEY,40.153361344537814,7.85655923740354,1852-07-24,17.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
JAPAN:  MINO-OWARI,35.5,137.0,8.4,0,0,JAPAN,40.153361344537814,7.85655923740354,1891-10-27,7273.0,4.0,1.0,1.0,1.0,3.0,142177.0,4.0,25.0,4.0
HAITI: ANSE-A-VEAU,18.52,-73.35,7.5,1,0,HAITI,40.153361344537814,8.0,1860-04-08,1.0,1.0,1.0,1.0,101.0,3.0,101.0,3.0,1.0,2.0
PERU:  OFF COAST,-12.178,-77.164,5.3,0,0,PERU,51.0,7.85655923740354,2008-03-29,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,0.5,1.0
"CHINA:  NEI MONGOL:  LINDONG, TIANSHAN",43.77,119.643,5.4,0,0,CHINA,24.0,7.85655923740354,2003-08-16,4.0,1.0,1000.0,3.0,1.0,3.0,7900.0,4.0,5.0,3.0
ITALY:  SICILY,37.8,13.2,5.1,0,0,ITALY,33.0,7.85655923740354,1968-01-25,8.0,1.0,55.0,2.0,1.0,3.0,101.0,3.0,0.5,1.0
"IRAN:  SW, SHIRAZ, MAMASANI",29.964,51.655,5.1,0,0,IRAN,33.0,7.85655923740354,1989-05-03,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
NEPAL; TIBET (XIZANG PROVINCE),30.0,81.0,7.7,0,0,NEPAL,33.0,7.85655923740354,1916-08-28,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
ALBANIA:  DURRES,41.0,19.5,5.8,0,0,ALBANIA,40.153361344537814,10.0,1926-12-17,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
"SEIONAIKAI, JAPAN",34.6,135.4,6.7,1,0,JAPAN,40.153361344537814,7.85655923740354,1510-09-21,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
"ALBANIA: HIMARA, DHERMI, KUC, KUDHESI, VLORE, KANINA",40.2,19.7,7.5,1,0,ALBANIA,40.153361344537814,11.0,1893-06-14,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
"ALBANIA:  PESHKOPIA, MAGELLARE",41.7,20.4,6.0,0,0,ALBANIA,33.0,10.0,1942-08-27,43.0,1.0,110.0,3.0,1.0,3.0,101.0,3.0,5.0,3.0
PERU:  COAST:  CHIMBOTE,-9.634,-78.591,4.5,0,0,PERU,57.0,7.85655923740354,2020-06-07,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
CHINA:  HENAN PROVINCE:  NANYANG,33.0,112.5,6.5,0,0,CHINA,40.153361344537814,8.0,46-10-23,51.0,2.0,1.0,1.0,1.0,3.0,51.0,2.0,1.0,2.0
EGYPT:  ASWAN,23.686,32.604,5.3,0,0,EGYPT,10.0,8.0,1981-11-14,1.0,1.0,1.0,1.0,11.0,1.0,11.0,1.0,0.5,1.0
TURKEY:  BINGOL,39.421,40.697,5.9,0,0,TURKEY,10.0,7.85655923740354,2020-06-14,1.0,1.0,35.0,1.0,1.0,1.0,101.0,3.0,1.0,2.0
CHINA:  YUNNAN PROVINCE,23.7,102.5,6.8,0,0,CHINA,40.153361344537814,9.0,1887-12-16,2000.0,4.0,3000.0,4.0,1.0,3.0,101.0,3.0,5.0,3.0
"INDONESIA:  NEIRA I, LONTHOR I",-5.5,130.5,6.8,1,0,INDONESIA,40.153361344537814,7.85655923740354,1859-09-25,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.671,-88.938,6.6,0,0,EL SALVADOR,10.0,6.0,2001-02-13,315.0,3.0,3399.0,4.0,15706.0,4.0,41302.0,4.0,348.5,4.0
JAPAN:  HOKKAIDO:  KUSHIRO,42.9,145.228,6.8,0,0,JAPAN,35.0,7.85655923740354,2004-12-06,1.0,1.0,4.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDIA:  JAISALMER,27.143,70.749,5.2,0,0,INDIA,44.0,7.85655923740354,2009-04-09,1.0,1.0,6.0,1.0,51.0,2.0,101.0,3.0,1.0,2.0
TURKEY:  DINAR,38.0,30.5,5.9,0,0,TURKEY,40.153361344537814,8.0,1925-08-07,3.0,1.0,1.0,1.0,1.0,3.0,2043.0,4.0,5.0,3.0
CALIFORNIA-NEVADA:  CHALFANT VALLEY,37.537,-118.447,6.2,0,0,USA,9.0,6.0,1986-07-21,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
MEXICO:  MICHOACAN,17.5,-102.5,7.9,0,0,MEXICO,11.0,7.85655923740354,1911-06-07,45.0,1.0,22.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
CHINA:  NE:  TANGSHAN,39.664,118.401,7.4,0,0,CHINA,26.0,9.0,1976-07-28,51.0,2.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
JAPAN:  HONSHU:  TAJIMA,35.75,134.75,6.8,0,0,JAPAN,40.153361344537814,7.85655923740354,1925-05-23,395.0,3.0,1.0,1.0,1.0,3.0,3333.0,4.0,25.0,4.0
JAPAN:  OFF SE. BOSO PENINSULA,35.0,141.5,7.4,1,0,JAPAN,40.153361344537814,7.85655923740354,1677-11-04,500.0,3.0,1.0,1.0,1.0,3.0,1001.0,4.0,5.0,3.0
INDIA:  TAULI,29.872,80.428,5.2,0,0,INDIA,16.0,7.85655923740354,2010-06-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
PHILIPPINES: LUZON:  DIMASALANG,12.171,123.921,5.8,0,0,PHILIPPINES,10.0,6.0,2003-02-15,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
FRANCE:  PYRENEES,42.99,-0.05,4.7,0,0,FRANCE,10.0,7.85655923740354,2006-11-17,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
PAPUA NEW GUINEA:  MADANG,-4.907,145.471,7.3,1,0,PAPUA NEW GUINEA,8.0,8.0,1970-10-31,18.0,1.0,20.0,1.0,800.0,3.0,800.0,3.0,1.75,2.0
INDIAN OCEAN:  FELT IN MALDIVES,-2.598,68.382,7.6,0,0,INDIAN OCEAN,10.0,7.85655923740354,2003-07-15,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
TANZANIA:  BUNDA,-2.907,33.733,5.5,0,0,TANZANIA,10.0,7.85655923740354,2002-05-18,2.0,1.0,1.0,1.0,700.0,3.0,690.0,3.0,1.0,2.0
"IRAN:  SHIRAZ, DARVESH-ASUH",29.6,53.1,6.0,0,0,IRAN,40.153361344537814,7.0,1865-06-00,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
CHINA:  SICHUAN PROVINCE,32.518,105.395,4.5,0,0,CHINA,25.0,7.85655923740354,2008-12-09,2.0,1.0,3.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
ALASKA:  CAPE YAKATAGA,60.0,-140.0,7.8,0,0,USA,25.0,7.0,1899-09-10,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"PAPUA NEW GUINEA:  RABAUL, KOKOPO, NEW BRITAIN",-5.799,154.178,7.7,1,0,PAPUA NEW GUINEA,30.0,7.85655923740354,1995-08-16,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
IRAN,34.033,59.817,6.0,0,0,IRAN,33.0,7.85655923740354,1979-12-07,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
MEXICO:  NEAR OAXACA COAST,15.0,-97.0,7.7,0,0,MEXICO,33.0,7.85655923740354,1917-12-29,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
VANUATU ISLANDS,-19.0,169.5,7.9,0,0,VANUATU,100.0,7.85655923740354,1910-06-16,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
PERU:  CUZCO,-13.0,-72.0,5.8,0,0,PERU,10.0,10.0,1707-09-17,160.0,3.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"CHINA:  GANSU, YONGDENG, BAIYIN, DINGXI, JINGTAI",36.427,103.123,5.6,0,0,CHINA,13.0,7.85655923740354,1995-07-21,14.0,1.0,60.0,1.0,1.0,3.0,4500.0,4.0,5.0,3.0
